"","Country","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"1","Canada",201924,168746,188943,192463,205225,214314,222989,273896,323207,344929,422067,447276,481722,495327,527896
"2","Austria",4410,4251,4622,4532,4861,5286,5976,6962,7159,10655,13473,11618,14454,15419,16202
"3","Belgium",23471,23379,36292,69565,78767,102705,91413,97038,88121,94462,82968,73102,68133,65495,71571
"4","Denmark",5761,5537,6806,7772,7470,7732,9913,13322,14509,18920,17707,19703,22658,30179,34625
"5","Finland",5308,7613,5415,4943,5213,6087,6852,4284,6471,6118,6784,14221,8141,7828,10086
"6","France",141487,141922,158924,189763,197785,214712,197338,202682,233547,255595,258485,255016,266448,284194,276146
"7","Germany",187815,173843,183966,203077,213601,197438,213256,251009,281295,277209,298208,320457,319615,347965,403646
"8","Ireland",26089,21270,21044,24097,22448,17801,18981,26431,55861,102251,175774,276963,235786,235448,269429
"9","Italy",13762,19466,18567,20142,21133,22151,24899,23508,27709,30072,26345,27606,29788,31999,34373
"10","Luxembourg",123389,130020,138667,170309,172195,202339,223339,232288,350772,371121,400793,333774,322291,334680,382914
"11","Netherlands",184613,179938,206622,234408,222465,244147,237734,258177,298782,313649,376413,448285,496672,506276,629523
"12","Norway",7317,11511,9866,10478,16530,18769,18470,19539,20641,24794,33722,37048,34391,30360,32498
"13","Spain",25908,30037,38984,43095,45740,48417,50722,63956,67349,71559,81255,86884,86370,85090,79253
"14","Sweden",45811,32578,28941,38780,41591,39216,40848,40142,44961,48372,48244,46361,55295,60155,71453
"15","Switzerland",149732,157121,140819,180642,198050,199125,220349,245188,241008,267657,264455,291862,254975,275208,282279
"16","United Kingdom",405543,447529,414590,400435,446077,485785,510795,479373,522954,505190,510587,489179,500921,421766,512431
"17","Brazil",2091,16,-1430,1357,5077,3562,1891,1444,142,1020,487,3350,5740,7041,8017
"18","Mexico",8478,8420,11111,10970,12500,12751,15869,15198,15262,17426,18636,18481,19583,20645,28012
"19","Panama",1066,916,1101,952,1135,1218,1527,2350,2592,2749,2260,2615,1838,1800,1872
"20","Venezuela",4051,2402,2612,3122,3898,4393,3881,3926,4186,1563,1652,1697,1671,1381,1075
"21","Bahamas",760,236,694,1753,443,635,643,813,794,262,687,984,1526,1865,2023
"22","Bermuda",4713,13703,-7646,365,-8818,-13030,-8486,993,-7323,6982,-3959,16682,44752,48506,49488
"23","Caribbean",34353,27799,21227,38477,57345,66000,78228,87344,101725,79690,91098,90769,101538,101906,116392
"24","South Africa",239,676,594,699,941,755,105,329,2936,2985,3096,3121,2960,3558,4103
"25","Israel",6312,6752,8122,8714,9290,7361,7041,6175,6865,12271,10457,12248,13429,10608,11253
"26","Kuwait",855,371,358,347,892,742,1011,1072,1113,1112,1325,1464,1448,1423,1433
"27","United Arab Emirates",1039,2136,2253,747,1451,2782,2245,2618,2752,2796,11341,14795,17426,20340,21160
"28","Australia",35595,37399,36760,35632,59362,51138,49127,56404,65259,66587,76506,74146,76477,85802,97745
"29","China",584,1105,1624,3300,3598,7076,7855,10071,14714,31871,36447,35437,38792,36785,38249
"30","Hong Kong",3809,4217,4236,4440,7605,9750,7404,9776,10981,11494,14989,15115,14049,14069,14429
"31","India",1671,2820,2555,4102,5323,5959,7661,8927,9639,4749,5483,4518,4036,1679,2947
"32","Japan",222695,234748,238140,255012,274283,301183,350395,371874,401835,427229,487997,514234,633882,651075,690022
"33","Malaysia",464,450,439,338,911,1012,986,1154,1278,1121,1345,1021,861,1036,1086
"34","New Zealand",908,880,767,584,1014,1052,1046,1048,439,204,2246,3211,2629,2395,2729
"35","Singapore",12151,25801,20757,21517,16819,18701,17082,20665,21585,21661,24503,24598,27134,28427,30167
"36","South Korea",11939,12859,12969,15746,19860,25260,31790,39966,39784,42426,55568,57998,55606,63137,72521
"37","Taiwan",4465,4462,3885,4642,5004,5039,6135,6107,6889,7514,11606,13840,14558,17972,17336
