"","TIME","Value"
"1",2007-01-01,4.76
"2",2007-02-01,4.72
"3",2007-03-01,4.56
"4",2007-04-01,4.69
"5",2007-05-01,4.75
"6",2007-06-01,5.1
"7",2007-07-01,5
"8",2007-08-01,4.67
"9",2007-09-01,4.52
"10",2007-10-01,4.53
"11",2007-11-01,4.15
"12",2007-12-01,4.1
"13",2008-01-01,3.74
"14",2008-02-01,3.74
"15",2008-03-01,3.51
"16",2008-04-01,3.68
"17",2008-05-01,3.88
"18",2008-06-01,4.1
"19",2008-07-01,4.01
"20",2008-08-01,3.89
"21",2008-09-01,3.69
"22",2008-10-01,3.81
"23",2008-11-01,3.53
"24",2008-12-01,2.42
"25",2009-01-01,2.52
"26",2009-02-01,2.87
"27",2009-03-01,2.82
"28",2009-04-01,2.93
"29",2009-05-01,3.29
"30",2009-06-01,3.72
"31",2009-07-01,3.56
"32",2009-08-01,3.59
"33",2009-09-01,3.4
"34",2009-10-01,3.39
"35",2009-11-01,3.4
"36",2009-12-01,3.59
"37",2010-01-01,3.73
"38",2010-02-01,3.69
"39",2010-03-01,3.73
"40",2010-04-01,3.85
"41",2010-05-01,3.42
"42",2010-06-01,3.2
"43",2010-07-01,3.01
"44",2010-08-01,2.7
"45",2010-09-01,2.65
"46",2010-10-01,2.54
"47",2010-11-01,2.76
"48",2010-12-01,3.29
"49",2011-01-01,3.39
"50",2011-02-01,3.58
"51",2011-03-01,3.41
"52",2011-04-01,3.46
"53",2011-05-01,3.17
"54",2011-06-01,3
"55",2011-07-01,3
"56",2011-08-01,2.3
"57",2011-09-01,1.98
"58",2011-10-01,2.15
"59",2011-11-01,2.01
"60",2011-12-01,1.98
"61",2012-01-01,1.97
"62",2012-02-01,1.97
"63",2012-03-01,2.17
"64",2012-04-01,2.05
"65",2012-05-01,1.8
"66",2012-06-01,1.62
"67",2012-07-01,1.53
"68",2012-08-01,1.68
"69",2012-09-01,1.72
"70",2012-10-01,1.75
"71",2012-11-01,1.65
"72",2012-12-01,1.72
"73",2013-01-01,1.91
"74",2013-02-01,1.98
"75",2013-03-01,1.96
"76",2013-04-01,1.76
"77",2013-05-01,1.93
"78",2013-06-01,2.3
"79",2013-07-01,2.58
"80",2013-08-01,2.74
"81",2013-09-01,2.81
"82",2013-10-01,2.62
"83",2013-11-01,2.72
"84",2013-12-01,2.9
"85",2014-01-01,2.86
"86",2014-02-01,2.71
"87",2014-03-01,2.72
"88",2014-04-01,2.71
"89",2014-05-01,2.56
"90",2014-06-01,2.6
"91",2014-07-01,2.54
"92",2014-08-01,2.42
"93",2014-09-01,2.53
"94",2014-10-01,2.3
"95",2014-11-01,2.33
"96",2014-12-01,2.21
"97",2015-01-01,1.88
"98",2015-02-01,1.98
"99",2015-03-01,2.04
"100",2015-04-01,1.94
"101",2015-05-01,2.2
"102",2015-06-01,2.36
"103",2015-07-01,2.32
"104",2015-08-01,2.17
"105",2015-09-01,2.17
"106",2015-10-01,2.07
"107",2015-11-01,2.26
"108",2015-12-01,2.24
"109",2016-01-01,2.09
"110",2016-02-01,1.78
"111",2016-03-01,1.89
"112",2016-04-01,1.81
"113",2016-05-01,1.81
"114",2016-06-01,1.64
"115",2016-07-01,1.5
"116",2016-08-01,1.56
"117",2016-09-01,1.63
"118",2016-10-01,1.76
"119",2016-11-01,2.14
"120",2016-12-01,2.49
"121",2017-01-01,2.43
"122",2017-02-01,2.42
"123",2017-03-01,2.48
"124",2017-04-01,2.3
"125",2017-05-01,2.3
"126",2017-06-01,2.19
"127",2017-07-01,2.32
"128",2017-08-01,2.21
"129",2017-09-01,2.2
"130",2017-10-01,2.36
"131",2017-11-01,2.35
"132",2017-12-01,2.4
"133",2018-01-01,2.58
"134",2018-02-01,2.86
"135",2018-03-01,2.84
"136",2018-04-01,2.87
"137",2018-05-01,2.98
"138",2018-06-01,2.91
"139",2018-07-01,2.89
"140",2018-08-01,2.89
"141",2018-09-01,3
"142",2018-10-01,3.15
"143",2018-11-01,3.12
"144",2018-12-01,2.83
"145",2019-01-01,2.71
"146",2019-02-01,2.68
"147",2019-03-01,2.57
"148",2019-04-01,2.53
"149",2019-05-01,2.4
"150",2019-06-01,2.07
"151",2019-07-01,2.06
"152",2019-08-01,1.63
"153",2019-09-01,1.7
"154",2019-10-01,1.71
"155",2019-11-01,1.81
"156",2019-12-01,1.86
"157",2020-01-01,1.76
"158",2020-02-01,1.5
"159",2020-03-01,0.87
"160",2020-04-01,0.66
"161",2020-05-01,0.67
"162",2020-06-01,0.73
"163",2020-07-01,0.62
"164",2020-08-01,0.65
"165",2020-09-01,0.68
"166",2020-10-01,0.79
"167",2020-11-01,0.87
"168",2020-12-01,0.93
"169",2021-01-01,1.08
"170",2021-02-01,1.26
"171",2021-03-01,1.61
"172",2021-04-01,1.64
"173",2021-05-01,1.62
"174",2021-06-01,1.52
"175",2021-07-01,1.32
"176",2021-08-01,1.28
"177",2021-09-01,1.37
"178",2021-10-01,1.58
"179",2021-11-01,1.56
"180",2021-12-01,1.47
"181",2022-01-01,1.76
"182",2022-02-01,1.93
"183",2022-03-01,2.13
"184",2022-04-01,2.75
"185",2022-05-01,2.9
"186",2022-06-01,3.14
"187",2022-07-01,2.9
"188",2022-08-01,2.9
"189",2022-09-01,3.52
"190",2022-10-01,3.98
"191",2022-11-01,3.89
"192",2022-12-01,3.62
"193",2023-01-01,3.53
"194",2023-02-01,3.75
"195",2023-03-01,3.66
