"","year","DFF","UNRATE","GDP","T10YIE","EMRATIO"
"1",2009,0.158602739726027,9.28333333333333,14478.06675,1.60576,59.3416666666667
"2",2010,0.176246575342466,9.60833333333333,15048.97,2.06366533864542,58.475
"3",2011,0.101506849315068,8.93333333333333,15599.73175,2.23188,58.375
"4",2012,0.140573770491803,8.075,16253.97,2.27884,58.5583333333333
"5",2013,0.107342465753425,7.35833333333333,16843.19575,2.27632,58.6
"6",2014,0.0884931506849315,6.15833333333333,17550.68775,2.09736,59.0083333333333
"7",2015,0.13372602739726,5.275,18206.0235,1.68625498007968,59.3333333333333
"8",2016,0.393196721311475,4.875,18695.10575,1.56928,59.7333333333333
"9",2017,1.00295890410959,4.35833333333333,19477.3365,1.87288,60.125
"10",2018,1.83493150684932,3.89166666666667,20533.0575,2.0766265060241,60.4416666666667
"11",2019,2.1572602739726,3.68333333333333,21380.976,1.74056,60.7833333333333
"12",2020,0.37224043715847,8.09166666666667,21060.47425,1.4908764940239,56.7666666666667
"13",2021,0.0786849315068493,5.36666666666667,23315.08125,2.36163346613546,58.375
"14",2022,1.69219178082192,3.64166666666667,25462.72225,2.52196787148594,59.9583333333333
