DATE,EMRATIO
1948-01-01,56.6166666666666667
1949-01-01,55.4750000000000000
1950-01-01,56.0916666666666667
1951-01-01,57.3166666666666667
1952-01-01,57.2833333333333333
1953-01-01,57.1750000000000000
1954-01-01,55.4833333333333333
1955-01-01,56.6250000000000000
1956-01-01,57.5000000000000000
1957-01-01,57.0666666666666667
1958-01-01,55.4250000000000000
1959-01-01,56.0416666666666667
1960-01-01,56.1000000000000000
1961-01-01,55.3666666666666667
1962-01-01,55.5083333333333333
1963-01-01,55.3500000000000000
1964-01-01,55.6666666666666667
1965-01-01,56.1666666666666667
1966-01-01,56.9250000000000000
1967-01-01,57.2583333333333333
1968-01-01,57.5083333333333333
1969-01-01,57.9666666666666667
1970-01-01,57.3916666666666667
1971-01-01,56.5916666666666667
1972-01-01,56.9833333333333333
1973-01-01,57.8250000000000000
1974-01-01,57.8250000000000000
1975-01-01,56.0500000000000000
1976-01-01,56.8333333333333333
1977-01-01,57.8583333333333333
1978-01-01,59.3250000000000000
1979-01-01,59.9416666666666667
1980-01-01,59.2083333333333333
1981-01-01,59.0250000000000000
1982-01-01,57.7833333333333333
1983-01-01,57.8666666666666667
1984-01-01,59.5333333333333333
1985-01-01,60.1166666666666667
1986-01-01,60.6916666666666667
1987-01-01,61.5250000000000000
1988-01-01,62.2833333333333333
1989-01-01,62.9416666666666667
1990-01-01,62.8000000000000000
1991-01-01,61.6500000000000000
1992-01-01,61.4666666666666667
1993-01-01,61.7083333333333333
1994-01-01,62.5250000000000000
1995-01-01,62.8833333333333333
1996-01-01,63.1750000000000000
1997-01-01,63.7750000000000000
1998-01-01,64.0750000000000000
1999-01-01,64.2666666666666667
2000-01-01,64.4083333333333333
2001-01-01,63.6666666666666667
2002-01-01,62.7333333333333333
2003-01-01,62.2666666666666667
2004-01-01,62.3500000000000000
2005-01-01,62.6833333333333333
2006-01-01,63.1166666666666667
2007-01-01,62.9750000000000000
2008-01-01,62.1833333333333333
2009-01-01,59.3416666666666667
2010-01-01,58.4750000000000000
2011-01-01,58.3750000000000000
2012-01-01,58.5583333333333333
2013-01-01,58.6000000000000000
2014-01-01,59.0083333333333333
2015-01-01,59.3333333333333333
2016-01-01,59.7333333333333333
2017-01-01,60.1250000000000000
2018-01-01,60.4416666666666667
2019-01-01,60.7833333333333333
2020-01-01,56.7666666666666667
2021-01-01,58.3750000000000000
2022-01-01,59.9583333333333333
2023-01-01,.
