DATE,T10YIE
2003-01-01,1.9553600000000000
2004-01-01,2.4402400000000000
2005-01-01,2.4747600000000000
2006-01-01,2.4837200000000000
2007-01-01,2.3480478087649402
2008-01-01,1.8935458167330677
2009-01-01,1.6057600000000000
2010-01-01,2.0636653386454183
2011-01-01,2.2318800000000000
2012-01-01,2.2788400000000000
2013-01-01,2.2763200000000000
2014-01-01,2.0973600000000000
2015-01-01,1.6862549800796813
2016-01-01,1.5692800000000000
2017-01-01,1.8728800000000000
2018-01-01,2.0766265060240964
2019-01-01,1.7405600000000000
2020-01-01,1.4908764940239044
2021-01-01,2.3616334661354582
2022-01-01,2.5219678714859438
2023-01-01,.
